1,960,4,"The hotel had a beautiful pool area, perfect for relaxing in the sun.",1979-05-15
2,1251,2,The rooms were outdated and in need of renovation.,2000-03-18
3,1822,3,"Decent hotel for the price, but the breakfast options were limited.",1979-02-26
4,2888,5,Absolutely loved our stay - the room was spacious and luxurious.,1977-10-22
5,2442,1,Terrible experience - the hotel was infested with bugs.,1987-05-11
6,2465,4,Friendly staff and comfortable beds made for a pleasant stay.,2004-01-27
7,375,3,"The location was convenient, but the hotel lacked charm.",1999-12-12
8,994,5,Impeccable service and breathtaking views from the balcony.,1970-11-26
9,1184,2,"The hotel was understaffed, resulting in slow service.",1983-10-09
10,1353,3,Average hotel with nothing extraordinary to offer.,1987-10-25
11,1916,4,Clean and well-maintained hotel with a helpful front desk staff.,1986-02-22
12,217,1,Stay away from this hotel - the rooms were dirty and unkempt.,1983-07-07
13,289,5,Exquisite decor and attention to detail made us feel pampered.,1986-01-01
14,106,2,Disappointing stay - the amenities advertised were not available.,1974-04-23
15,2497,3,The hotel was conveniently located near popular attractions.,2000-04-19
16,1605,4,Great value for money - spacious rooms and a complimentary breakfast.,2003-06-02
17,828,1,"The hotel was overbooked, and our reservation was mishandled.",1999-08-16
18,717,5,The hotel exceeded our expectations in every aspect.,2018-02-02
19,973,2,Uncomfortable beds and noisy surroundings made it hard to sleep.,1981-02-17
20,157,4,Attentive staff and a delicious on-site restaurant made our stay enjoyable.,1973-11-23
21,2095,3,The hotel had a decent gym but lacked other recreational facilities.,2011-07-20
22,2807,5,Charming boutique hotel with an inviting atmosphere.,2003-04-16
23,318,1,Worst hotel experience ever - rude staff and broken amenities.,1993-12-12
24,2157,4,The hotels location provided stunning views of the city skyline.,1983-11-21
25,643,2,"The room had a strange odor, and the air conditioning was faulty.",2002-09-16
26,1489,3,Average hotel with comfortable beds but outdated furnishings.,1970-01-12
27,2885,5,An oasis of tranquility in the heart of the bustling city.,2005-05-18
28,334,1,Dirty and unkempt rooms - a truly disappointing stay.,2005-03-08
29,1574,4,"The hotel had a lovely garden area, perfect for afternoon tea.",2017-11-08
30,1596,2,We encountered multiple plumbing issues during our stay.,2020-09-11
31,1411,3,"The hotel had a decent spa, but the treatments were overpriced.",1983-09-06
32,1200,5,Outstanding service from the moment we arrived.,2000-07-19
33,2855,1,Avoid this hotel at all costs - it was a complete disaster.,2015-09-16
34,303,4,Spacious rooms with comfortable beds and modern amenities.,1997-12-02
35,2550,2,"The hotel was located in a noisy neighborhood, making it hard to sleep.",2017-10-01
36,1663,3,"The hotel staff were friendly, but the check-in process was slow.",1970-02-17
37,1574,5,We were treated like royalty throughout our entire stay.,1998-09-18
38,2609,1,Filthy bathrooms and unhelpful staff - a nightmare experience.,2021-02-09
39,1991,4,The hotel had a great rooftop bar with stunning views.,1974-06-29
40,1081,2,The Wi-Fi connection was unreliable and frustrating to use.,2006-04-13
41,2634,3,"Reasonable hotel for a short stay, but lacking in charm.",2011-10-07
42,1832,5,"Every detail was thoughtfully taken care of, ensuring a luxurious experience.",1984-06-04
43,2285,1,The hotel was located in a dangerous neighborhood - not recommended.,1971-04-04
44,1567,4,Attentive and polite staff who made us feel welcome.,1990-02-12
45,1538,2,The hotels decor was outdated and in need of modernization.,1994-05-10
46,985,3,"The hotel offered a complimentary shuttle service, which was convenient.",1977-07-09
47,1451,5,A hidden gem with exceptional service and breathtaking views.,1975-04-28
48,2562,1,The hotel was infested with pests - an absolute nightmare.,2022-11-29
49,2516,4,The hotel had a fantastic pool area with plenty of loungers.,2007-12-24
50,1453,2,Unfriendly and unhelpful staff made our stay unpleasant.,2018-06-15
51,944,3,"The hotel had a decent breakfast buffet, but limited vegetarian options.",1995-11-01
52,1494,5,We felt like VIPs from the moment we stepped foot in the hotel.,1973-07-25
53,264,1,The rooms were tiny and cramped - not suitable for families.,2004-07-10
54,2693,4,The hotels location was perfect for exploring the city.,1971-06-12
55,2266,2,"The hotels noise insulation was poor, resulting in disturbed sleep.",1994-11-13
56,2315,3,"The hotel had a small fitness center, but it lacked equipment.",1992-06-17
57,1504,5,An unforgettable stay at a truly exceptional hotel.,1989-08-22
58,2877,1,We encountered multiple maintenance issues during our stay.,1973-01-31
59,2000,4,"The hotel had a cozy lounge area, perfect for relaxing with a book.",2009-10-01
60,598,2,"The hotels walls were thin, and we could hear our neighbors.",1993-09-16
61,330,3,"The hotel had a helpful concierge service, assisting with our sightseeing plans.",2006-10-14
62,2023,5,Immaculate rooms and top-notch amenities - a luxurious experience.,1978-03-16
63,1598,1,The hotel overcharged us and refused to resolve the issue.,2019-01-28
64,373,4,"The hotel had a beautiful courtyard, ideal for enjoying a cup of coffee.",1997-12-28
65,47,2,The cleanliness of the hotel left much to be desired.,1998-09-05
66,2038,3,"The hotel provided a shuttle service, but the schedule was limited.",1986-05-11
67,869,5,We were blown away by the hotels stunning architecture.,1978-08-16
68,600,1,The hotel had a terrible odor throughout the building.,1998-02-23
69,771,4,The hotels restaurant served delicious cuisine with attentive service.,1999-11-29
70,2098,2,The hotels website was misleading - it did not match the actual experience.,1980-04-07
71,25,3,"The hotel had a small business center, but the equipment was outdated.",2012-01-31
72,2504,5,A perfect getaway destination with impeccable service.,1973-06-26
73,46,1,"The hotel was located in a noisy area, making it hard to sleep.",1984-01-15
74,1771,4,The hotels staff went above and beyond to ensure our comfort.,2000-03-27
75,2609,2,The hotels pool was dirty and uninviting.,2011-03-24
76,999,3,Reasonably priced hotel with basic amenities.,2009-03-05
77,1056,5,Exquisite design and attention to detail in every aspect.,1996-06-25
78,2372,1,We encountered rude and unprofessional staff throughout our stay.,1987-08-20
79,790,4,The hotel had a convenient location near public transportation.,2018-12-05
80,132,2,"The hotels air conditioning was inadequate, leaving the room hot and stuffy.",1999-01-16
81,2487,3,"The hotel had a decent bar, but the drink prices were high.",1988-02-26
82,1994,5,We were treated like family by the warm and welcoming staff.,1972-01-24
83,2779,1,The hotels Wi-Fi was slow and unreliable.,2002-10-07
84,1636,4,The hotel offered a variety of recreational activities for guests.,1983-12-02
85,2104,2,"The hotels walls were poorly soundproofed, resulting in disturbed sleep.",1995-10-09
86,2172,3,"The hotel had a helpful front desk staff, providing local recommendations.",2002-10-14
87,2805,5,A luxurious retreat with impeccable service and stunning views.,1982-06-29
88,2433,1,The hotels parking situation was chaotic and inconvenient.,2000-11-08
89,110,4,"The hotel had a beautiful garden, perfect for a leisurely stroll.",1985-11-08
90,2777,2,The cleanliness of the hotels common areas was lacking.,1973-01-09
91,2887,3,The hotel had a basic continental breakfast with limited options.,1995-12-19
92,744,5,We were delighted by the hotels attention to detail and personalized service.,1977-10-18
93,1118,1,The hotels rooms were outdated and in need of refurbishment.,2008-03-07
94,1516,4,The hotel had a fantastic rooftop pool with panoramic city views.,2001-01-24
95,2437,2,The hotels staff were unresponsive and unhelpful.,1971-08-07
96,2839,3,"The hotel had a small gift shop, but the prices were exorbitant.",2019-04-04
97,2177,5,A perfect blend of luxury and comfort in a stunning setting.,1985-04-26
98,967,1,"The hotel had poor security measures, making us feel unsafe.",2022-08-07
99,424,4,The hotel provided a complimentary breakfast buffet with a variety of options.,1978-04-10
100,683,2,The hotels housekeeping service was inconsistent and unreliable.,2014-05-18
101,1640,4,Attentive staff and comfortable beds made our stay enjoyable.,1980-01-18
102,1389,2,"The hotel lacked proper maintenance, with broken fixtures and peeling paint.",1973-09-25
103,2397,3,"The hotel offered a decent fitness center, but it could use some upgrades.",1981-07-26
104,1825,5,A truly exceptional hotel with top-notch service and luxurious amenities.,1971-05-14
105,414,1,Our room was infested with bedbugs - a nightmarish experience.,1981-08-13
106,38,4,"The hotels location was ideal, within walking distance of popular attractions.",2022-11-28
107,2927,2,Unfriendly front desk staff made our check-in process unpleasant.,1997-03-31
108,408,3,"The hotel had a small pool, but it was overcrowded during our stay.",1995-03-14
109,2471,5,"Impeccable attention to detail and a warm, welcoming atmosphere.",1972-02-25
110,520,1,"The hotels walls were thin, and we could hear every noise from adjacent rooms.",1970-05-04
111,1754,4,"The hotel had a cozy fireplace in the lobby, perfect for chilly evenings.",1997-05-26
112,1734,2,The hotels breakfast options were limited and uninspiring.,1978-05-16
113,997,3,Reasonably priced hotel with clean rooms and basic amenities.,2003-02-08
114,1573,5,An unforgettable experience at a truly remarkable hotel.,2003-04-13
115,1945,1,The hotels restaurant had poor hygiene standards - we got food poisoning.,1975-06-25
116,25,4,Friendly and helpful staff who went above and beyond.,2010-04-06
117,665,2,"The hotels elevator was constantly out of order, causing inconvenience.",1999-06-14
118,506,3,"The hotel provided a complimentary shuttle, but it had limited operating hours.",1999-07-18
119,386,5,Luxurious accommodations and impeccable service throughout our stay.,2021-05-19
120,2178,1,"The hotels air conditioning was ineffective, leaving the room uncomfortably hot.",1995-09-11
121,2053,4,The hotel had stunning views of the ocean from our balcony.,1992-08-22
122,195,2,"The hotels cleanliness was subpar, with dirty carpets and dusty surfaces.",1988-03-29
123,2031,3,The hotel had a convenient location near public transportation options.,2009-11-12
124,1564,5,Exquisite architecture and a grand ambiance made our stay memorable.,1996-04-14
125,602,1,The hotels Wi-Fi was unreliable and had frequent disconnections.,1976-09-23
126,1727,4,"The hotel had a beautiful rooftop terrace, perfect for enjoying sunsets.",2001-02-19
127,402,2,Unprofessional staff who lacked proper training in guest services.,1991-04-04
128,1043,3,"The hotel had a decent conference room, suitable for business meetings.",1978-02-02
129,298,5,A true haven of luxury and tranquility in the heart of the city.,1978-11-23
130,2237,1,"The hotels walls were scuffed and marked, showing signs of neglect.",1991-03-04
131,112,4,The hotels on-site restaurant served delicious cuisine with attentive service.,2017-02-20
132,1181,2,"The hotels soundproofing was inadequate, leading to disturbed sleep.",2007-12-27
133,1785,3,"The hotel had a small spa, but the treatment prices were steep.",2017-06-26
134,2846,5,Impeccable hospitality and a seamless experience from check-in to check-out.,2005-04-10
135,616,1,"The hotels cleanliness was questionable, with stained sheets and dirty bathrooms.",1993-07-14
136,2814,4,The hotels location provided easy access to shopping and dining options.,1985-09-06
137,2203,2,The hotels website misrepresented the facilities available on-site.,2022-09-29
138,511,3,"The hotel had a decent bar area, but the drink prices were high.",2007-02-12
139,2575,5,A magical retreat with exceptional service and breathtaking surroundings.,2012-12-13
140,2617,1,The hotels staff were unhelpful and displayed a lack of professionalism.,1971-09-27
141,1656,4,"The hotel had a well-equipped fitness center, perfect for staying active.",2022-05-21
142,786,2,The hotels room service was slow and often got our orders wrong.,2002-10-29
143,1855,3,Reasonably priced hotel with clean and comfortable rooms.,2009-11-14
144,2372,5,An oasis of luxury and serenity amidst the bustling city.,1984-03-06
145,2389,1,"The hotel had inadequate parking facilities, causing inconvenience.",2003-08-21
146,731,4,"The hotel had a charming courtyard, ideal for enjoying a cup of coffee.",2021-04-19
147,2764,2,The hotels amenities were outdated and in need of renovation.,2020-07-08
148,726,3,"The hotel had a helpful concierge service, providing useful local information.",1992-08-08
149,634,5,Outstanding service and attention to detail that exceeded our expectations.,1995-10-13
150,1025,1,The hotels restaurant had limited options and subpar food quality.,2006-11-05
151,1555,4,The hotels spa offered a wide range of relaxing treatments.,1981-12-29
152,1550,2,The hotels housekeeping service was inconsistent and often overlooked details.,1983-09-27
153,26,3,"The hotel had a small business center, suitable for basic needs.",1981-09-19
154,2261,5,An enchanting retreat that offered a perfect blend of luxury and comfort.,2000-05-05
155,1014,1,"The hotels noise insulation was poor, leading to disrupted sleep.",2011-07-09
156,1636,4,The hotels staff were friendly and went out of their way to assist us.,1984-06-03
157,1126,2,The hotels decor was outdated and lacked modern aesthetics.,2023-03-25
158,1581,3,"The hotel had a decent breakfast spread, catering to various dietary preferences.",2019-11-03
159,421,5,A truly remarkable hotel that left a lasting impression on us.,1992-06-30
160,1431,1,The hotels customer service was unresponsive and unhelpful.,2011-05-26
161,2074,4,"The hotel had a picturesque garden, perfect for relaxing strolls.",2007-01-01
162,652,2,The hotels air conditioning system was noisy and ineffective.,1991-08-20
163,691,3,"The hotel had a small pool area, which was often overcrowded.",1977-07-09
164,1670,5,A luxurious haven that provided an unforgettable experience.,2018-11-25
165,917,1,"The hotels cleanliness was lacking, with dusty surfaces and dirty carpets.",1999-11-17
166,209,4,The hotels location offered breathtaking views of the surrounding mountains.,2021-03-24
167,923,2,The hotels staff were unaccommodating and displayed poor customer service.,1994-04-06
168,181,3,"The hotel had a small gift shop, but the prices were exorbitant.",2005-03-24
169,2861,5,Exceptional service and exquisite amenities that surpassed our expectations.,2011-07-02
170,2202,1,The hotels Wi-Fi signal was weak and often disconnected.,1974-04-08
171,2217,4,"The hotel had a well-appointed lounge area, perfect for relaxation.",2001-04-14
172,2690,2,"The hotels maintenance was lacking, with broken fixtures and leaky faucets.",1996-03-27
173,1209,3,"The hotel offered a complimentary breakfast, but the options were limited.",1995-11-28
174,2505,5,A paradise of luxury and comfort that made our stay truly memorable.,1991-02-21
175,842,1,"The hotels walls were poorly soundproofed, resulting in disturbed sleep.",1977-01-03
176,2497,4,"The hotels location was convenient, with easy access to public transportation.",1985-03-24
177,1202,2,"The hotels cleanliness standards were below par, with uncleaned rooms.",1981-09-28
178,1063,3,"The hotel had a decent gym, but it lacked proper ventilation.",1974-02-25
179,1474,5,Attentive and friendly staff who made us feel like royalty.,2020-06-30
180,2003,1,"The hotel had limited parking space, causing inconvenience for guests.",2017-05-13
181,262,4,The hotels rooftop bar offered stunning views and delicious cocktails.,1995-04-24
182,550,2,The hotels customer service was unresponsive to our requests and inquiries.,2015-05-18
183,2720,3,"The hotel had a small business center, suitable for basic needs.",1979-04-06
184,1082,5,A true gem that provided a luxurious and unforgettable experience.,1972-06-03
185,2197,1,The hotels rooms were cramped and lacked adequate space for comfort.,1994-09-19
186,733,4,The hotels location provided easy access to the citys main attractions.,2011-11-18
187,2711,2,"The hotels cleanliness was subpar, with dirty bathrooms and stained linens.",2005-03-31
188,513,3,"The hotel had a small spa facility, offering limited services.",2005-08-23
189,1168,5,Exceptional service and attention to detail that made us feel pampered.,1970-12-03
190,2331,1,The hotels Wi-Fi was unreliable and had frequent connectivity issues.,1988-11-04
191,1350,4,The hotels staff were courteous and went out of their way to assist us.,1972-03-18
192,1815,2,The hotels amenities were outdated and in need of renovation.,1975-11-21
193,1239,3,"The hotel had a decent breakfast buffet, although the options were repetitive.",2004-08-22
194,339,5,A truly remarkable hotel with luxurious accommodations and impeccable service.,2005-06-12
195,32,1,"The hotels noise insulation was poor, and we could hear everything from neighboring rooms.",1998-01-09
196,462,4,"The hotel had a beautiful garden area, perfect for relaxation and tranquility.",1974-05-04
197,1798,2,The hotels housekeeping service was inconsistent and often overlooked details.,2000-03-19
198,230,3,"The hotel had a small fitness center, adequate for basic workouts.",1981-12-08
199,193,5,A luxurious and elegant retreat that surpassed all our expectations.,1990-10-17
200,2669,1,The hotels customer service was unresponsive and unhelpful.,1988-09-30
201,2571,4,The hotels rooftop pool offered breathtaking views of the city skyline.,1983-11-06
202,2170,2,The hotels decor was outdated and in need of modernization.,2013-03-31
203,2725,3,Reasonably priced hotel with clean rooms and friendly staff.,1977-08-05
204,1869,5,A luxurious haven with impeccable service and exquisite amenities.,2003-06-21
205,1394,1,The hotels rooms were poorly maintained and in a state of disrepair.,1989-04-26
206,55,4,"The hotels location was ideal, within walking distance of major attractions.",1972-04-18
207,1600,2,The hotels front desk staff were rude and unhelpful.,1993-10-14
208,2510,3,"The hotel had a decent pool area, but it was often crowded.",1970-02-01
209,350,5,An extraordinary hotel with unparalleled luxury and attention to detail.,1997-03-08
210,684,1,"The hotels cleanliness standards were subpar, with dirty common areas.",2010-04-04
211,2722,4,The hotels restaurant served delicious cuisine with attentive service.,2011-08-11
212,598,2,The hotels facilities were outdated and lacked modern amenities.,2022-06-29
213,361,3,"The hotel had a small conference room, suitable for business meetings.",2004-05-14
214,1963,5,A truly exceptional hotel that provided an unforgettable experience.,1990-08-12
215,2924,1,"The hotels noise insulation was poor, and we could hear everything from adjacent rooms.",1971-09-20
216,2709,4,The hotels staff were friendly and went out of their way to accommodate our needs.,2010-09-23
217,2160,2,"The hotels cleanliness was lacking, with dirty carpets and dusty furniture.",2009-06-18
218,2608,3,The hotel had a convenient location near public transportation options.,2015-06-04
219,1306,5,A luxurious retreat with top-notch service and stunning views.,2014-08-24
220,2427,1,"The hotels Wi-Fi was slow and unreliable, making it difficult to work or browse the internet.",1970-12-09
221,1206,4,"The hotel had a beautiful garden, perfect for relaxation and tranquility.",1992-03-02
222,1348,2,"The hotels maintenance was poor, with broken fixtures and malfunctioning appliances.",2008-07-20
223,1455,3,"The hotel had a decent fitness center, although the equipment could use an upgrade.",2011-05-08
224,2006,5,An unforgettable stay at a truly remarkable hotel.,2012-05-02
225,1464,1,"The hotels cleanliness left much to be desired, with dirty bathrooms and stained linens.",1970-09-09
226,2214,4,The hotels location offered stunning views and convenient access to local attractions.,2004-09-06
227,344,2,The hotels staff were unprofessional and provided poor customer service.,2003-02-07
228,2237,3,"The hotel had a small business center, adequate for basic needs.",2022-05-08
229,763,5,A haven of luxury and comfort that exceeded all expectations.,1995-03-15
230,188,1,"The hotels noise insulation was inadequate, resulting in disturbed sleep.",1979-07-20
231,573,4,The hotels staff were attentive and provided excellent service throughout our stay.,1999-10-28
232,96,2,The hotels amenities were outdated and not well-maintained.,2016-02-20
233,783,3,"The hotel had a small pool area, which was often overcrowded.",1975-02-10
234,1001,5,A truly exceptional hotel that provided a memorable and luxurious experience.,1998-12-19
235,200,1,"The hotels cleanliness was lacking, with uncleaned rooms and dirty common areas.",1979-01-31
236,701,4,"The hotels location was convenient, with easy access to transportation and attractions.",1973-06-13
237,2846,2,The hotels staff were unfriendly and unresponsive to our requests.,1977-05-24
238,653,3,The hotel had a decent breakfast buffet with a variety of options.,1999-04-20
239,696,5,An unforgettable stay at a hotel that exemplified luxury and elegance.,1988-08-29
240,150,1,The hotels Wi-Fi connection was unreliable and had frequent interruptions.,1976-11-25
241,2240,4,The hotels rooftop terrace provided breathtaking views and a relaxing ambiance.,1970-05-29
242,650,2,The hotels rooms were outdated and in need of renovation.,1982-10-01
243,1651,3,Reasonably priced hotel with clean rooms and friendly staff.,2001-02-05
244,622,5,A truly exceptional hotel that provided a memorable and luxurious experience.,1994-09-14
245,509,1,"The hotels cleanliness was lacking, with uncleaned rooms and dirty common areas.",2006-01-21
246,2412,4,"The hotels location was convenient, with easy access to transportation and attractions.",2014-05-06
247,984,2,The hotels staff were unfriendly and unresponsive to our requests.,2000-05-23
248,1543,3,The hotel had a decent breakfast buffet with a variety of options.,1981-01-12
249,577,5,An unforgettable stay at a hotel that exemplified luxury and elegance.,2001-05-25
250,1777,1,The hotels Wi-Fi connection was unreliable and had frequent interruptions.,2007-10-15
251,2019,4,The hotels rooftop terrace provided breathtaking views and a relaxing ambiance.,2015-01-09
252,1459,2,The hotels rooms were outdated and in need of renovation.,1971-05-13
253,78,3,Reasonably priced hotel with clean rooms and friendly staff.,2011-04-08
254,2532,5,A truly exceptional hotel that provided a memorable and luxurious experience.,1998-12-16
255,659,1,"The hotels cleanliness was lacking, with uncleaned rooms and dirty common areas.",1997-07-15
256,690,4,"The hotels location was convenient, with easy access to transportation and attractions.",2018-09-27
257,2454,2,The hotels staff were unfriendly and unresponsive to our requests.,2008-02-09
258,901,3,The hotel had a decent breakfast buffet with a variety of options.,1974-05-07
259,1815,5,An unforgettable stay at a hotel that exemplified luxury and elegance.,1982-08-30
260,1855,1,The hotels Wi-Fi connection was unreliable and had frequent interruptions.,1993-01-05
261,2235,4,The hotels rooftop terrace provided breathtaking views and a relaxing ambiance.,2022-05-06
262,214,2,The hotels rooms were outdated and in need of renovation.,2012-10-17
263,2514,3,Reasonably priced hotel with clean rooms and friendly staff.,1979-07-06
264,865,5,A truly exceptional hotel that provided a memorable and luxurious experience.,1977-12-23
265,2297,1,"The hotels cleanliness was lacking, with uncleaned rooms and dirty common areas.",2011-11-13
266,2724,4,"The hotels location was convenient, with easy access to transportation and attractions.",2002-08-08
267,2223,2,The hotels staff were unfriendly and unresponsive to our requests.,2017-07-29
268,1958,3,The hotel had a decent breakfast buffet with a variety of options.,1985-02-06
269,486,5,An unforgettable stay at a hotel that exemplified luxury and elegance.,1990-05-15
270,52,1,The hotels Wi-Fi connection was unreliable and had frequent interruptions.,2012-10-07
271,2235,4,The worker was knowledgeable and provided great recommendations for our vacation.,1976-01-24
272,2674,2,The worker seemed disinterested and did not go the extra mile to assist us.,1993-11-30
273,14,3,The worker was efficient in booking our flights but lacked personal engagement.,1983-12-03
274,749,5,The worker was a pleasure to work with - their enthusiasm and expertise made planning our trip enjoyable.,1979-10-25
275,275,1,We were extremely disappointed with the worker - they made numerous mistakes and showed a lack of professionalism.,1997-11-25
276,2724,4,The worker went above and beyond to find us the best deals and accommodations.,1989-08-04
277,1167,3,The worker was friendly but could have been more proactive in providing information.,2013-11-23
278,8,5,The worker was exceptional - they took care of every detail and made our vacation stress-free.,2015-08-08
279,1120,2,The worker lacked attention to detail and made errors in our travel itinerary.,1977-09-01
280,1223,3,The worker was polite but seemed overwhelmed and struggled to handle multiple requests.,1982-06-30
281,270,4,The worker was prompt in responding to our queries and provided excellent customer service.,1981-03-24
282,1652,1,"We were extremely dissatisfied with the worker - they were unhelpful and unresponsive, making the experience frustrating.",2008-03-21
283,556,5,The worker demonstrated extensive knowledge and helped us create a personalized itinerary.,2004-01-07
284,1753,2,The worker seemed indifferent and did not show genuine interest in assisting us.,2008-12-21
285,2484,3,"The worker provided the necessary information, but their communication lacked warmth.",2020-04-19
286,1003,4,"The worker was patient and understanding, answering all our questions with clarity.",1973-06-02
287,1843,1,We had a terrible experience with the worker - they were unresponsive and failed to address our concerns.,2009-08-28
288,2022,5,"The worker was proactive and resourceful, ensuring all our travel arrangements were perfect.",1986-05-05
289,2672,2,The worker appeared disorganized and provided inaccurate information about our travel options.,2000-08-04
290,2915,4,The worker was attentive and offered valuable insights for our vacation planning.,2018-02-21
291,491,3,"The worker was courteous, but we felt their responses could have been more detailed.",1997-03-24
292,1207,5,The worker was an absolute delight to work with - they exceeded our expectations.,1970-02-22
293,2086,1,We had a terrible experience with the worker - they were unresponsive and unprofessional.,1998-08-17
294,37,4,"The worker was friendly and accommodating, making the booking process seamless.",2005-01-22
295,1149,2,The worker lacked professionalism and made mistakes in our travel arrangements.,1976-07-28
296,1553,3,The worker provided satisfactory service but lacked a personalized touch.,1990-04-30
297,296,5,The worker was a true professional - their expertise and personalized recommendations made our trip unforgettable.,1983-07-04
298,2614,1,We were extremely unsatisfied with the worker - they were unresponsive and unprofessional.,1982-08-31
299,2497,4,The worker was prompt in their responses and provided excellent customer service.,2000-05-19
300,955,2,The worker appeared disinterested and lacked enthusiasm in assisting us.,2005-09-25
301,1804,3,The worker provided satisfactory service but could have been more proactive in providing updates.,2000-12-05
302,221,5,The worker was an exceptional travel agent - they made our trip memorable and hassle-free.,2016-11-10
303,430,1,We were highly disappointed with the worker - they provided incorrect information and caused confusion.,1991-08-01
304,1607,4,The worker was knowledgeable and helped us create an itinerary that suited our preferences.,1987-09-04
305,487,2,The worker seemed overwhelmed and struggled to handle customer inquiries efficiently.,2014-06-16
306,2240,3,"The worker was polite, but we expected more personalized recommendations.",1993-12-13
307,1471,5,The worker was outstanding - they listened to our preferences and crafted a dream vacation.,2018-03-03
308,2233,1,We had a terrible experience with the worker - they provided incorrect information and did not apologize for the inconvenience caused.,1977-04-19
309,1782,4,The worker was attentive and offered valuable insights for our vacation planning.,1977-11-10
310,1923,2,The worker appeared disinterested and lacked enthusiasm in assisting us.,2003-05-07
311,2406,3,The worker provided satisfactory service but lacked attention to detail.,2009-05-03
312,587,5,The worker was exceptional - they took care of every detail and ensured a memorable travel experience.,1990-12-24
313,149,1,We were unsatisfied with the worker - they provided incorrect information and did not rectify the situation promptly.,2021-02-25
314,2776,4,The worker demonstrated exceptional knowledge and attention to detail.,2013-12-01
315,78,2,The worker seemed disinterested and did not show enthusiasm in assisting us.,1974-03-07
316,2439,3,The worker provided satisfactory service but could have been more proactive in providing updates.,2011-05-31
317,2361,5,The worker was outstanding - they tailored our trip to perfection and exceeded our expectations.,1976-08-30
318,2584,1,We were extremely disappointed with the worker - they mishandled our booking and did not take responsibility.,1991-03-16
319,1160,4,The worker was knowledgeable and helped us create a customized itinerary.,2003-08-19
320,2574,2,The worker appeared disengaged and did not provide satisfactory service.,1976-02-06
321,269,3,The worker provided satisfactory service but could have been more proactive in providing updates.,1995-12-17
322,392,5,The worker was exceptional - they went above and beyond to create a memorable travel experience.,1994-09-22
323,675,1,We had a terrible experience with the worker - they mishandled our booking and did not rectify the situation.,2007-12-12
324,939,4,The worker was attentive and provided valuable insights to enhance our travel experience.,1996-12-24
325,2313,2,The worker seemed overwhelmed and struggled to handle customer inquiries efficiently.,1983-04-21
326,1624,3,The worker was polite but could have been more proactive in providing updates.,2001-08-15
327,425,5,The worker was exceptional - they took care of every detail and ensured a flawless vacation.,2013-11-24
328,2734,1,We were unsatisfied with the worker - they provided incorrect information and did not address our concerns.,2021-03-12
329,1449,4,The worker was knowledgeable and helped us craft a customized itinerary.,2009-09-24
330,1069,2,The worker appeared disinterested and did not show genuine interest in assisting us.,1971-03-03
331,2249,3,The worker provided satisfactory service but could have been more attentive to detail.,2019-11-26
332,2891,5,The worker was outstanding - they tailored our trip to perfection and exceeded our expectations.,2018-08-23
333,910,1,We had a terrible experience with the worker - they provided incorrect information and were unresponsive.,1991-10-28
