1,1939,50,267,"I made a reservation for a hotel in Paris, but I haven't received a confirmation email yet.",Rjeseno
2,944,1353,347,"I tried to make a payment for my tour package, but my credit card was declined. Please assist.",U obradi
3,462,706,268,I am unable to access the booking portal on your website. It keeps showing an error message.,Rjeseno
4,828,2522,53,I had a negative experience with one of your tour guides. They were rude and unprofessional.,Na cekanju
5,1525,2913,251,I need to request a refund for my canceled flight due to unforeseen circumstances. Please guide me on the process.,U obradi
6,145,1243,98,I accidentally booked a hotel for the wrong dates. Can I make changes to my reservation?,Zaprimljeno
7,2201,1600,98,I am unable to download the mobile app for accessing my travel itinerary. Please help resolve this.,Na cekanju
8,1898,851,343,"I paid for a tour package online, but the amount got debited twice from my account. I need a refund for the duplicate payment.",Rjeseno
9,1133,221,128,I have a special dietary requirement due to allergies. Can you accommodate my needs during the tour?,U obradi
10,902,2527,252,I would like to inquire about availability for a guided tour of the Great Wall of China on a specific date.,Rjeseno
11,2080,1756,72,One of your staff members was giving incorrect information regarding visa requirements. It caused confusion and inconvenience.,U obradi
12,25,1221,319,"My tour got canceled by the agency, and I would like to request a full refund for the amount paid.",Na cekanju
13,1,1600,238,The online booking system is not accepting my passport details. It keeps giving an error. Please assist me with the booking process.,U obradi
14,859,2906,231,"I tried to make a payment for my travel package, but the transaction failed. Can you check if there is an issue with your payment gateway?",Zaprimljeno
15,1647,1457,314,I need assistance in booking a rental car for my upcoming trip to Italy. Can you provide me with the available options and prices?,U obradi
16,191,2195,88,"I am experiencing difficulties accessing my online account. It says my login credentials are incorrect, even though they are not.",U obradi
17,2590,657,248,"I encountered a tour guide who did not speak English fluently, which made it challenging to understand the explanations during the tour.",Rjeseno
18,29,325,75,I would like to request a refund for the optional excursion that got canceled due to unforeseen circumstances.,U obradi
19,981,553,126,I have a medical condition that requires certain accommodations during my travel. How can I ensure my needs are met?,U obradi
20,2390,1751,245,I would like to change the dates of my hotel reservation in London. Can you assist me with the modification?,Rjeseno
21,1295,81,62,"I made a payment for my tour package, but I did not receive a receipt. Could you please send me a confirmation of payment?",Zaprimljeno
22,1562,1681,283,The flight search function on your website is not displaying any results. Is there a technical problem?,Rjeseno
23,852,2522,58,"One of your tour guides was constantly late, causing delays in our itinerary. This affected our overall experience.",U obradi
24,1222,2640,276,I had to cancel my trip due to a medical emergency. Can I request a refund for the tour package?,Rjeseno
25,2037,522,219,I am interested in booking a group tour for my family. Can you provide me with the details and prices?,Rjeseno
26,1236,41,48,I have specific accessibility needs as I am traveling with a wheelchair. Are your tour packages wheelchair-friendly?,Rjeseno
27,389,59,190,I accidentally made a payment for the wrong tour package. Can you transfer the payment to the correct reservation?,Rjeseno
28,2577,180,146,The online chat support on your website is not working. I need assistance with my booking. Please provide an alternative contact method.,U obradi
29,2466,1812,159,I would like to add an extra night to my hotel reservation. Is it possible to extend my stay?,U obradi
30,783,703,345,"I had an issue with a driver assigned to my airport transfer. They arrived late, causing me to almost miss my flight.",Rjeseno
31,1889,1954,261,I had to cancel my trip due to personal reasons. Can I request a refund for the tour package?,U obradi
32,133,2880,244,"I made a payment for my travel package, but the transaction is still pending. Can you confirm if the payment was successful?",U obradi
33,446,131,231,The mobile app is crashing every time I try to access my travel itinerary. Can you provide a solution to this problem?,U obradi
34,238,2930,327,I would like to book a private tour for a special occasion. Can you arrange a customized itinerary and provide a price quote?,Zaprimljeno
35,79,2181,315,"One of your tour guides was not knowledgeable about the historical sites and landmarks we visited, leading to a disappointing experience.",Na cekanju
36,2432,1358,106,The hotel room I booked was not as described. I would like to request a refund for the inconvenience caused.,U obradi
37,2655,188,201,"I made a payment for my tour package, but the amount debited from my account is higher than the agreed price. Please rectify this payment discrepancy.",Na cekanju
38,429,1946,127,The online booking form is not accepting my contact information. It keeps showing an error. Can you assist me with the booking process?,Zaprimljeno
39,1984,422,117,I would like to inquire about the availability of guided city tours during my visit to Barcelona.,Na cekanju
40,1148,512,163,One of your staff members mishandled my baggage during a transfer. It resulted in damage to my belongings.,Zaprimljeno
41,2241,657,120,"The flight I booked was canceled by the airline, and I would like to request a refund for the ticket.",Rjeseno
42,126,128,255,"I made a payment for my travel package, but I did not receive a booking confirmation. Can you provide the necessary documentation?",U obradi
43,1567,2588,188,The mobile app is not working properly. I am unable to access my travel itinerary. Can you provide a solution to this problem?,Rjeseno
44,1161,1969,97,I would like to inquire about the availability of a guided tour to Machu Picchu. Can you provide me with the options and prices?,U obradi
45,2033,2035,216,One of your tour guides provided incorrect information about the historical sites we visited. It affected the overall quality of the tour.,Rjeseno
46,1027,1963,230,"The tour I booked did not meet my expectations, and I would like to request a partial refund.",Rjeseno
47,2384,1746,283,I received a payment reminder for a tour package that I have already paid for. Please rectify this payment discrepancy.,Rjeseno
48,2871,1756,39,The website is displaying incorrect prices for the tour packages. Can you update the prices or provide accurate information?,U obradi
49,2204,2330,185,I would like to inquire about the availability of a guided tour to the Taj Mahal. Can you provide me with the details and prices?,Na cekanju
50,1783,1170,285,"One of your employees mishandled my travel documents, leading to a delay and inconvenience during check-in.",Na cekanju
51,58,1414,45,I need to request a refund for a canceled excursion that I had pre-booked as part of my tour package.,U obradi
52,1962,1123,87,"I made a payment for my hotel reservation, but the hotel has no record of my booking. Please resolve this payment and booking discrepancy.",Rjeseno
53,868,198,128,The online customer portal is not working properly. I am unable to review my booking details. Can you assist me with this issue?,Zaprimljeno
54,1142,2533,38,I would like to inquire about the availability of a guided tour to the Serengeti National Park. Can you provide me with the options and prices?,U obradi
55,2393,128,317,One of your tour guides was constantly on their phone and not providing proper attention to the group.,Zaprimljeno
56,1088,2907,1,I would like to request a refund for the tour package due to unexpected personal circumstances.,Na cekanju
57,814,693,65,"I made a payment for my tour package, but the amount debited from my account is incorrect. Please rectify this payment discrepancy.",Zaprimljeno
58,2093,1898,239,The online payment portal is not working properly. I am unable to complete the payment for my tour package.,Na cekanju
59,1293,721,108,I need assistance in booking a flight for my upcoming trip to Paris. Can you provide me with the available options and prices?,U obradi
60,200,2057,327,"One of your staff members was consistently unresponsive to my emails and calls, causing delays in resolving my travel queries.",Rjeseno
61,1546,2127,47,I need to request a refund for a canceled tour due to unforeseen circumstances.,Rjeseno
62,527,1341,339,"I made a payment for my hotel reservation, but the amount charged is higher than the agreed price. Please rectify this payment discrepancy.",U obradi
63,1283,804,145,I am unable to download the travel documents from the client portal. Can you provide the necessary documents via email?,U obradi
64,121,1221,304,I would like to inquire about the availability of a guided tour to the Galapagos Islands. Can you provide me with the options and prices?,Zaprimljeno
65,1852,2300,264,"One of your tour guides did not show up for the scheduled tour, causing us inconvenience and disappointment.",Rjeseno
66,1542,85,292,I would like to request a refund for a canceled excursion that I had pre-booked.,Zaprimljeno
67,624,185,215,"I made a payment for my tour package, but the transaction is still pending. Can you confirm if the payment was successful?",Na cekanju
68,2150,2379,128,The booking form on your website is not accepting my contact details. Can you assist me with the booking process?,Zaprimljeno
69,1744,939,129,I need assistance in booking a guided city tour for my upcoming trip to Amsterdam. Can you provide me with the available options and prices?,Zaprimljeno
70,178,586,189,"One of your employees provided incorrect directions, causing us to get lost during our sightseeing excursion.",Na cekanju
71,2914,76,218,I need to request a refund for the tour package as my travel plans have changed.,Na cekanju
72,2903,2593,291,"I made a payment for my hotel reservation, but I did not receive a booking confirmation. Can you provide the necessary documentation?",U obradi
73,833,2712,237,I am unable to access my e-tickets for the flights I booked through your agency. Can you provide them to me again?,Na cekanju
74,1896,2379,268,I would like to inquire about the availability of a guided tour to the Grand Canyon. Can you provide me with the options and prices?,Na cekanju
75,1951,2085,157,"One of your tour guides was not punctual, causing delays and inconvenience for the entire group.",Rjeseno
76,1624,1893,136,I would like to request a refund for a canceled excursion that I had pre-booked as part of my tour package.,Na cekanju
77,2007,703,347,"I made a payment for my tour package, but the amount debited from my account is higher than the agreed price. Please rectify this payment discrepancy.",Rjeseno
78,1216,1620,252,The online booking system is not accepting my credit card details. Can you assist me with the payment process?,Rjeseno
79,661,2068,197,I need assistance in booking a guided city tour for my upcoming trip to New York. Can you provide me with the available options and prices?,Zaprimljeno
80,2452,1746,68,"One of your employees provided incorrect information about the opening hours of a museum, leading to us missing the visit.",Rjeseno
81,2812,2775,284,I need to request a refund for the tour package due to a change in my travel plans.,Zaprimljeno
82,1666,2265,80,"I made a payment for my hotel reservation, but the amount charged is incorrect. Please rectify this payment discrepancy.",U obradi
83,1375,2640,215,The online chat support on your website is not responsive. I need assistance with my booking. Please provide an alternative contact method.,Zaprimljeno
84,550,903,189,I would like to inquire about the availability of a guided tour to the Great Barrier Reef. Can you provide me with the options and prices?,Rjeseno
85,1393,1168,145,"One of your tour guides did not provide accurate historical information during the guided tour, which affected the overall experience.",U obradi
86,1500,1187,201,I need to request a refund for the tour package due to unexpected personal circumstances.,Zaprimljeno
